[2025-05-09 15:21:43] Game started between: Hayk and AI Player
[2025-05-09 15:21:43] 
Hayk's initial board:
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] 
[2025-05-09 15:21:43] 
AI Player's initial board:
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] 
[2025-05-09 15:21:46] Hayk's ships placed:
[2025-05-09 15:21:46] 
Hayk's final ship positions:
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ □ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ □ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] 
[2025-05-09 15:21:46] AI Player's ships placed:
[2025-05-09 15:21:46] 
AI Player's final ship positions:
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ □ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ □ ~ ~ ]
[2025-05-09 15:21:46] 
[2025-05-09 15:21:49] Hayk inventory: 2 weapons, Budget: $180
[2025-05-09 15:22:11] AI Player used Basic Attack on (9, 1) → MISS
[2025-05-09 15:22:12] Hayk used Basic Attack on (0, 7) → MISS
[2025-05-09 15:22:12] Hayk used Basic at (0, 7) on AI Player (Weapons left: 2)
[2025-05-09 15:22:12] AI Player used Basic Attack on (5, 4) → MISS
[2025-05-09 15:22:13] Hayk used Basic Attack on (3, 7) → MISS
[2025-05-09 15:22:13] Hayk used Basic at (3, 7) on AI Player (Weapons left: 2)
[2025-05-09 15:22:13] AI Player used Basic Attack on (1, 5) → MISS
[2025-05-09 15:22:13] Hayk used Basic Attack on (7, 7) → MISS
[2025-05-09 15:22:13] Hayk used Basic at (7, 7) on AI Player (Weapons left: 2)
[2025-05-09 15:22:13] AI Player used Basic Attack on (6, 0) → MISS
[2025-05-09 15:22:14] Hayk used Basic Attack on (9, 6) → MISS
[2025-05-09 15:22:14] Hayk used Basic at (9, 6) on AI Player (Weapons left: 2)
[2025-05-09 15:22:14] AI Player used Basic Attack on (5, 0) → MISS
[2025-05-09 15:22:15] Hayk used Basic Attack on (4, 0) → MISS
[2025-05-09 15:22:15] Hayk used Basic at (4, 0) on AI Player (Weapons left: 2)
[2025-05-09 15:22:15] AI Player used Basic Attack on (0, 9) → MISS
[2025-05-09 15:22:17] Hayk used Basic Attack on (3, 6) → MISS
[2025-05-09 15:22:17] Hayk used Basic at (3, 6) on AI Player (Weapons left: 2)
[2025-05-09 15:22:17] AI Player used Basic Attack on (4, 5) → MISS
[2025-05-09 15:22:19] Hayk used Basic Attack on (2, 2) → MISS
[2025-05-09 15:22:19] Hayk used Basic Attack on (2, 3) → MISS
[2025-05-09 15:22:19] Hayk used Basic Attack on (2, 4) → MISS
[2025-05-09 15:22:19] Hayk used Basic Attack on (3, 2) → MISS
[2025-05-09 15:22:19] Hayk used Basic Attack on (3, 3) → MISS
[2025-05-09 15:22:19] Hayk used Basic Attack on (3, 4) → MISS
[2025-05-09 15:22:19] Hayk used Basic Attack on (4, 2) → MISS
[2025-05-09 15:22:19] Hayk used Basic Attack on (4, 3) → MISS
[2025-05-09 15:22:19] Hayk used Bomb at (3, 3) on AI Player (Weapons left: 1)
[2025-05-09 15:22:19] AI Player used Basic Attack on (8, 6) → MISS
[2025-05-09 15:22:21] Hayk used Basic Attack on (5, 0) → MISS
[2025-05-09 15:22:21] Hayk used Basic Attack on (5, 1) → MISS
[2025-05-09 15:22:21] Hayk used Basic Attack on (5, 2) → MISS
[2025-05-09 15:22:21] Hayk used Basic Attack on (6, 0) → HIT
[2025-05-09 15:22:21] Hayk used Basic Attack on (6, 1) → MISS
[2025-05-09 15:22:21] Hayk used Basic Attack on (6, 2) → MISS
[2025-05-09 15:22:21] Hayk used Basic Attack on (7, 0) → MISS
[2025-05-09 15:22:21] Hayk used Basic Attack on (7, 1) → MISS
[2025-05-09 15:22:21] Hayk used Basic Attack on (7, 2) → MISS
[2025-05-09 15:22:21] Hayk used Bomb at (6, 1) on AI Player (Weapons left: 0)
[2025-05-09 15:22:21] AI Player used Basic Attack on (9, 5) → MISS
[2025-05-09 15:22:23] Hayk used Basic Attack on (6, 5) → MISS
[2025-05-09 15:22:23] Hayk used Basic at (6, 5) on AI Player (Weapons left: 0)
[2025-05-09 15:22:23] AI Player used Basic Attack on (0, 0) → MISS
[2025-05-09 15:22:24] Hayk used Basic Attack on (4, 7) → MISS
[2025-05-09 15:22:24] Hayk used Basic at (4, 7) on AI Player (Weapons left: 0)
[2025-05-09 15:22:24] AI Player used Basic Attack on (1, 0) → MISS
[2025-05-09 15:22:25] Hayk used Basic Attack on (6, 7) → MISS
[2025-05-09 15:22:25] Hayk used Basic at (6, 7) on AI Player (Weapons left: 0)
[2025-05-09 15:22:25] AI Player used Basic Attack on (7, 0) → MISS
[2025-05-09 15:22:25] Hayk used Basic Attack on (8, 5) → MISS
[2025-05-09 15:22:25] Hayk used Basic at (8, 5) on AI Player (Weapons left: 0)
[2025-05-09 15:22:25] AI Player used Basic Attack on (7, 4) → MISS
[2025-05-09 15:22:26] Hayk used Basic Attack on (8, 4) → MISS
[2025-05-09 15:22:26] Hayk used Basic at (8, 4) on AI Player (Weapons left: 0)
[2025-05-09 15:22:26] AI Player used Basic Attack on (0, 1) → MISS
[2025-05-09 15:22:27] Hayk used Basic Attack on (8, 3) → MISS
[2025-05-09 15:22:27] Hayk used Basic at (8, 3) on AI Player (Weapons left: 0)
[2025-05-09 15:22:27] AI Player used Basic Attack on (3, 0) → MISS
[2025-05-09 15:22:27] Hayk used Basic Attack on (8, 2) → MISS
[2025-05-09 15:22:27] Hayk used Basic at (8, 2) on AI Player (Weapons left: 0)
[2025-05-09 15:22:27] AI Player used Basic Attack on (4, 3) → MISS
[2025-05-09 15:22:28] Hayk used Basic Attack on (9, 2) → MISS
[2025-05-09 15:22:28] Hayk used Basic at (9, 2) on AI Player (Weapons left: 0)
[2025-05-09 15:22:28] AI Player used Basic Attack on (0, 6) → MISS
[2025-05-09 15:22:28] Hayk used Basic Attack on (9, 4) → MISS
[2025-05-09 15:22:28] Hayk used Basic at (9, 4) on AI Player (Weapons left: 0)
[2025-05-09 15:22:28] AI Player used Basic Attack on (5, 7) → MISS
[2025-05-09 15:22:29] Hayk used Basic Attack on (9, 3) → MISS
[2025-05-09 15:22:29] Hayk used Basic at (9, 3) on AI Player (Weapons left: 0)
[2025-05-09 15:22:29] AI Player used Basic Attack on (1, 1) → MISS
[2025-05-09 15:22:29] Hayk used Basic Attack on (9, 0) → MISS
[2025-05-09 15:22:29] Hayk used Basic at (9, 0) on AI Player (Weapons left: 0)
[2025-05-09 15:22:29] AI Player used Basic Attack on (6, 7) → HIT
[2025-05-09 15:22:29] AI Player won the game!
[2025-05-09 15:22:29] Game Over! AI Player wins! Congratulations!
